Season,Player,Age,Team,Games Played,MPG,PPG,RBG,APG,SPG,BPG,FG%,3PT%,FT%,WS,WS/48
2023-24,Nikola Jokić,28,DEN,79,34.6,26.4,12.4,9,1.4,0.9,0.583,0.359,0.817,17,0.299
2022-23,Joel Embiid,28,PHI,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259
2021-22,Nikola Jokić,26,DEN,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296
2020-21,Nikola Jokić,25,DEN,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301
2019-20,Giannis Antetokounmpo,25,MIL,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279
2018-19,Giannis Antetokounmpo,24,MIL,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
2017-18,James Harden,28,HOU,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289
2016-17,Russell Westbrook,28,OKC,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224
2015-16,Stephen Curry,27,GSW,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
2014-15,Stephen Curry,26,GSW,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288
2013-14,Kevin Durant,25,OKC,81,38.5,32,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
2012-13,LeBron James,28,MIA,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
2011-12,LeBron James,27,MIA,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
2010-11,Derrick Rose,22,CHI,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208
2009-10,LeBron James,25,CLE,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299
2008-09,LeBron James,24,CLE,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318
2007-08,Kobe Bryant,29,LAL,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208
2006-07,Dirk Nowitzki,28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278
2005-06,Steve Nash,31,PHO,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
2004-05,Steve Nash,30,PHO,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203
2003-04,Kevin Garnett,27,MIN,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272
2002-03,Tim Duncan,26,SAS,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
2001-02,Tim Duncan,25,SAS,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
2000-01,Allen Iverson,25,PHI,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
1999-00,Shaquille O'Neal,27,LAL,79,40,29.7,13.6,3.8,0.5,3,0.574,0,0.524,18.6,0.283
,,26.56,,76.16,36.46,27.044,8.84,6.752,1.376,1.032,0.51204,0.3338,0.80924,15.43333333,0.268875
