Date,Opp,Score,Type,Min,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,+/-,Pts
Apr 14,@NO,W 124-108,Reg,37:41:00,11,20,55,0,2,0,6,6,100,2,9,11,17,4,5,1,0,19,28
Apr 13,@MEM,W 123-120,Reg,40:54:00,13,20,65,3,7,42.9,8,11,72.7,2,7,9,5,8,2,0,1,-3,37
Apr 10,GS,L 134-120,Reg,35:32:00,14,22,63.6,1,3,33.3,4,5,80,1,6,7,11,4,2,0,0,-6,33
Apr 6,CLE,W 97-116,Reg,35:54:00,10,18,55.6,1,5,20,3,5,60,0,5,5,12,5,1,1,1,10,24
Apr 4,@WAS,W 125-120,Reg,36:11:00,9,18,50,0,1,0,7,9,77.8,2,5,7,9,4,3,0,2,9,25
Apr 3,@TOR,W 128-111,Reg,28:47:00,10,12,83.3,1,1,100,2,5,40,0,4,4,9,1,0,0,0,13,23
Apr 1,@BKN,W 116-104,Reg,37:12:00,13,17,76.5,9,10,90,5,6,83.3,1,6,7,5,4,0,0,0,22,40
Mar 30,@IND,L 90-109,Reg,34:41:00,6,12,50,0,3,0,4,4,100,1,9,10,8,5,0,0,1,-13,16
Mar 28,@MEM,W 136-124,Reg,34:45:00,8,14,57.1,0,1,0,7,11,63.6,0,14,14,12,4,1,0,1,33,23
Mar 25,IND,W 145-150,Reg,38:08:00,8,19,42.1,2,4,50,8,8,100,1,4,5,10,3,1,1,1,12,26
Mar 23,PHI,W 94-101,Reg,37:52:00,7,15,46.7,1,3,33.3,5,7,71.4,0,8,8,6,8,0,1,1,7,20
Mar 19,ATL,W 105-136,Reg,28:39:00,10,14,71.4,2,5,40,3,3,100,0,7,7,10,2,0,0,0,20,25
Mar 17,GS,L 128-121,Reg,37:42:00,15,23,65.2,3,5,60,7,8,87.5,3,5,8,9,4,1,1,1,-6,40
Mar 14,@SAC,L 107-120,Reg,40:07:00,6,16,37.5,2,8,25,4,6,66.7,1,12,13,9,5,2,0,3,-10,18
Mar 11,MIN,W 109-120,Reg,37:51:00,10,16,62.5,2,4,50,7,9,77.8,0,8,8,9,4,0,0,1,14,29
Mar 7,SAC,L 130-120,Reg,36:08:00,10,16,62.5,1,4,25,10,10,100,0,5,5,13,3,1,0,0,-3,31
Mar 5,OKC,W 104-116,Reg,30:59:00,7,14,50,1,3,33.3,4,5,80,1,10,11,8,3,1,0,1,14,19
Mar 3,DEN,L 124-114,Reg,37:07:00,12,20,60,2,5,40,0,2,0,0,4,4,9,3,3,0,1,-1,26
Mar 1,WAS,W 131-134,Reg,38:44:00,12,24,50,2,5,40,5,7,71.4,0,4,4,9,4,1,1,1,-5,31
Feb 29,@LAC,W 116-112,Reg,37:01:00,13,21,61.9,7,12,58.3,1,1,100,1,5,6,8,3,0,2,2,11,34
Feb 25,@PHO,L 113-123,Reg,36:47:00,12,19,63.2,3,6,50,1,4,25,1,6,7,12,3,2,1,3,-8,28
Feb 24,SA,W 118-123,Reg,34:17:00,13,22,59.1,2,3,66.7,2,2,100,1,6,7,9,2,1,0,0,21,30
Feb 19,@EAS,L 186-211,Reg,13:48,4,10,40,0,3,0,0,0,-,0,4,4,3,1,0,0,0,-13,8
Feb 14,DET,W 111-125,Reg,30:42:00,9,15,60,3,6,50,4,4,100,0,1,1,8,4,0,0,0,9,25
Feb 10,NO,W 122-139,Reg,37:31:00,6,13,46.2,2,2,100,7,8,87.5,1,3,4,14,2,1,1,2,15,21
Feb 9,DEN,L 114-106,Reg,35:22:00,9,20,45,2,6,33.3,5,5,100,1,8,9,7,2,1,1,0,-6,25
Feb 6,@CHA,W 124-118,Reg,39:32:00,12,22,54.5,0,5,0,2,3,66.7,0,4,4,7,4,1,1,2,2,26
Feb 4,@NY,W 113-105,Reg,40:18:00,10,19,52.6,2,5,40,2,2,100,1,4,5,5,1,2,1,1,11,24
Jan 31,@ATL,L 122-138,Reg,35:49:00,7,17,41.2,2,6,33.3,4,9,44.4,2,7,9,8,3,1,1,1,-6,20
Jan 30,@HOU,L 119-135,Reg,36:47:00,9,15,60,2,5,40,3,8,37.5,0,6,6,10,1,1,1,4,-11,23
Jan 28,@GS,W 145-144,Reg,47:40:00,14,25,56,2,4,50,6,6,100,1,19,20,12,3,0,0,2,-6,36
Jan 26,CHI,W 132-141,Reg,35:42:00,10,19,52.6,3,4,75,2,2,100,0,4,4,12,5,2,0,2,14,25
Jan 22,POR,W 110-134,Reg,31:00:00,8,16,50,3,8,37.5,9,10,90,0,5,5,5,3,0,0,2,28,28
